id;nom;nom_majus;cp;insee;dept;lat;long;distance
3601;Comigne;COMIGNE;11700;11095;91;43.166667;2.583333;1.44
3602;Comus;COMUS;11340;11096;91;42.816667;1.883333;2.07
3603;Conilhac-de-la-Montagne;CONILHAC DE LA MONTAGNE;11190;11097;91;42.983333;2.191667;1.75
3604;Conilhac-Corbières;CONILHAC CORBIERES;11200;11098;91;43.183333;2.716667;1.48
3605;Corbières;CORBIERES;11230;11100;91;43.05;1.983333;1.27
3606;Coudons;COUDONS;11500;11101;91;42.866667;2.116667;1.72
3607;Couffoulens;COUFFOULENS;11250;11102;91;43.166667;2.3;1.39
3608;Couiza;COUIZA;11190;11103;91;42.95;2.25;1.15
3609;Counozouls;COUNOZOULS;11140;11104;91;42.733333;2.233333;2.64
3610;Cournanel;COURNANEL;11300;11105;91;43.033333;2.25;1.28
3611;Coursan;COURSAN;11110;11106;91;43.233333;3.066667;2.8
3612;Courtauly;COURTAULY;11230;11107;91;43.033333;2.033333;1.08
3613;La Courtète;LA COURTETE;11240;11108;91;43.15;2.033333;1.08
3614;Coustaussa;COUSTAUSSA;11190;11109;91;42.95;2.283333;1.15
3615;Coustouge;COUSTOUGE;11220;11110;91;43.05;2.743;-1
3616;Cruscades;CRUSCADES;11200;11111;91;43.183333;2.816667;1.86
3617;Cubières-sur-Cinoble;CUBIERES SUR CINOBLE;11190;11112;91;42.866667;2.466667;2.13
3618;Cucugnan;CUCUGNAN;11350;11113;91;42.85;2.6;1.84
3619;Cumiés;CUMIES;11410;11114;91;43.3;1.85;1.77
3620;Cuxac-Cabardès;CUXAC CABARDES;11390;11115;91;43.366667;2.3;1.71
3621;Cuxac-d'Aude;CUXAC D AUDE;11590;11116;91;43.25;3;2.55
3622;Davejean;DAVEJEAN;11330;11117;91;42.966667;2.616667;1.11
3623;Dernacueillette;DERNACUEILLETTE;11330;11118;91;42.933333;2.6;1.27
3624;La Digne-d'Amont;LA DIGNE D AMONT;11300;11119;91;43.033333;2.15;0.64
3625;La Digne-d'Aval;LA DIGNE D AVAL;11300;11120;91;43.05;2.183333;0.52
3626;Donazac;DONAZAC;11240;11121;91;43.083333;2.116667;1.34
3627;Douzens;DOUZENS;11700;11122;91;43.183333;2.6;1.05
3628;Durban-Corbières;DURBAN CORBIERES;11360;11124;91;43;2.816667;1.86
3629;Embres-et-Castelmaure;EMBRES ET CASTELMAURE;11360;11125;91;42.933333;2.816667;1.86
3630;Escales;ESCALES;11200;11126;91;43.216667;2.7;1.42
3631;Escouloubre;ESCOULOUBRE;11140;11127;91;42.733333;2.133333;2.64
3632;Escueillens;ESCUEILLENS;11240;11128;91;43.1;2;1.2
3633;Espéraza;ESPERAZA;11260;11129;91;42.933333;2.216667;1.32
3634;Espezel;ESPEZEL;11340;11130;91;42.816667;2.016667;2.07
3635;Fa;FA;11260;11131;91;42.933333;2.183333;1.27
3636;Fabrezan;FABREZAN;11200;11132;91;43.133333;2.7;1.42
3637;Fajac-en-Val;FAJAC EN VAL;11220;11133;91;43.116667;2.45;1.58
3638;Fajac-la-Relenque;FAJAC LA RELENQUE;11410;11134;91;43.283333;1.716667;2.27
3639;La Fajolle;LA FAJOLLE;11140;11135;91;42.766667;1.966667;2.41
